No,Product,Plain Bread (g),Coconut Pillow Bread (g),Sausage Bread (g),Cheese Floss Bread (g),Mexicana Banana Bread (g),Donuts (g),Fit-O Mini Bread (g),Stock (g)
1,Flour,250,100.0,30.0,30.0,33.0,25.0,15.0,600000
2,Yeast,4,1.5,0.4,0.4,0.4,0.3,0.2,8000
3,Softener,1,0.5,0.1,0.1,0.1,0.1,0.1,5000
4,Egg,0,10.0,4.0,4.0,5.0,2.0,2.0,45500
5,Sugar,15,30.0,6.0,16.0,8.0,4.0,3.0,110000
6,Butter,15,15.0,5.0,20.0,8.0,3.0,3.0,90000
7,Powdered milk,5,5.0,1.0,1.0,1.0,1.0,0.5,25000
8,Water,125,40.0,12.0,12.0,12.0,9.0,7.0,270000
9,Coffee,0,0.0,0.0,0.0,0.0,0.0,0.5,6000
10,Chocolate,0,0.0,0.0,0.0,7.0,5.0,0.0,40000
11,Cheese,0,0.0,7.0,10.0,5.0,0.0,0.0,12000
12,Banana,0,0.0,0.0,0.0,25.0,0.0,0.0,20000
13,Sauce,0,0.0,15.0,0.0,0.0,0.0,0.0,10000
14,Mayonnaise,0,0.0,10.0,0.0,0.0,0.0,0.0,10000
15,Meses/Chocolate sprinkles,0,0.0,0.0,0.0,7.0,0.0,0.0,10000
16,Grated coconut,0,25.0,0.0,0.0,0.0,0.0,0.0,15000
17,Sausage,0,0.0,30.0,0.0,0.0,0.0,0.0,20000
